Word,Frequency,Rank
the,4073,1
to,4065,2
of,3564,3
and,3335,4
her,2509,5
a,2035,6
in,1917,7
was,1840,8
i,1688,9
it,1656,10
she,1554,11
that,1304,12
be,1292,13
not,1225,14
for,1214,15
as,1199,16
you,1077,17
he,1048,18
his,1008,19
had,989,20
with,977,21
at,820,22
have,812,23
but,750,24
by,740,25
is,728,26
on,689,27
all,645,28
him,633,29
so,630,30
elinor,612,31
my,588,32
which,586,33
could,571,34
from,533,35
mrs,521,36
would,512,37
they,502,38
no,501,39
their,496,40
very,494,41
marianne,484,42
them,462,43
were,440,44
been,438,45
me,421,46
this,419,47
more,403,48
what,402,49
any,390,50
said,387,51
every,374,52
than,359,53
your,358,54
such,352,55
will,352,56
or,343,57
an,340,58
one,315,59
do,300,60
when,289,61
much,286,62
only,286,63
must,282,64
own,269,65
if,268,66
who,259,67
herself,249,68
time,237,69
am,235,70
should,235,71
did,229,72
now,229,73
know,227,74
are,225,75
dashwood,224,76
might,214,77
sister,214,78
there,214,79
some,211,80
edward,209,81
though,209,82
has,207,83
miss,206,84
think,205,85
jennings,203,86
after,201,87
mother,200,88
can,199,89
before,196,90
how,191,91
we,188,92
never,185,93
thing,184,94
well,183,95
other,182,96
too,181,97
soon,178,98
willoughby,175,99
nothing,174,100
may,171,101
see,171,102
without,171,103
mr,168,104
ever,166,105
being,164,106
out,161,107
first,160,108
say,158,109
colonel,156,110
little,156,111
lucy,156,112
most,154,113
however,152,114
house,148,115
great,147,116
two,147,117
john,145,118
about,142,119
again,141,120
then,141,121
good,140,122
day,139,123
make,139,124
made,137,125
lady,136,126
its,135,127
sure,130,128
give,126,129
shall,124,130
always,123,131
heart,123,132
even,121,133
sir,118,134
thought,116,135
brandon,115,136
into,115,137
man,114,138
saw,113,139
away,112,140
himself,112,141
ferrars,108,142
up,108,143
while,108,144
dear,107,145
felt,105,146
young,103,147
last,101,148
long,101,149
enough,100,150
myself,100,151
same,100,152
still,100,153
replied,99,154
sisters,99,155
left,98,156
many,98,157
mind,98,158
over,98,159
go,97,160
room,97,161
happy,96,162
come,95,163
less,95,164
kind,94,165
both,93,166
therefore,93,167
quite,91,168
seemed,91,169
world,90,170
barton,89,171
believe,89,172
came,88,173
cannot,88,174
us,88,175
middleton,87,176
tell,87,177
upon,87,178
where,87,179
hope,86,180
cried,85,181
moment,85,182
town,84,183
present,83,184
really,83,185
till,83,186
almost,82,187
family,82,188
morning,81,189
nor,80,190
few,79,191
place,79,192
affection,78,193
heard,78,194
like,78,195
better,77,196
indeed,77,197
down,76,198
love,76,199
another,74,200
letter,74,201
rather,73,202
feelings,72,203
way,72,204
found,71,205
gave,71,206
immediately,71,207
once,71,208
together,71,209
wish,71,210
yet,71,211
brother,70,212
done,70,213
mariannes,70,214
our,70,215
hear,69,216
home,69,217
between,68,218
far,68,219
just,68,220
least,68,221
look,68,222
something,68,223
spirits,68,224
subject,68,225
told,68,226
person,67,227
perhaps,66,228
pleasure,66,229
whole,66,230
against,65,231
feel,65,232
hardly,65,233
towards,65,234
whom,65,235
woman,65,236
behaviour,63,237
friends,63,238
happiness,63,239
palmer,63,240
acquaintance,62,241
engagement,62,242
opinion,62,243
three,62,244
because,61,245
elinors,61,246
knew,61,247
looked,61,248
others,61,249
these,61,250
visit,61,251
comfort,60,252
cottage,60,253
since,60,254
known,59,255
within,59,256
brought,58,257
each,58,258
having,58,259
speak,58,260
attention,57,261
leave,57,262
off,57,263
poor,57,264
continued,56,265
dashwoods,56,266
eyes,56,267
going,56,268
life,56,269
manner,56,270
seen,56,271
short,56,272
find,55,273
general,55,274
half,55,275
end,54,276
side,54,277
situation,54,278
suppose,54,279
wished,54,280
here,53,281
reason,53,282
rest,53,283
does,52,284
given,52,285
