Awards_Won,Awards_Nominated,Prime_Awards_Nominted,Oscar_Awards_Nominated,Golden_Awards_Nominated,Oscar_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Awards_Won,BAFTA_Awards_Won
1,2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,0
13,14,0,1,0,1,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0
14,35,0,0,1,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
22,44,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0
70,201,0,0,0,0,0,0,0,2,0
32,143,0,0,0,0,0,0,0,1,0
0,20,4,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,0,0
9,30,0,0,0,0,0,0,0,0,0
2,6,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0
11,42,0,0,0,0,3,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,0
14,11,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0
2,15,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
15,4,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
4,9,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
185,113,0,0,0,0,0,0,11,0,0
4,11,0,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
12,14,0,0,0,0,0,0,1,0,0
3,44,0,0,0,0,0,3,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
6,43,0,7,0,7,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0,0,0
14,22,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0
5,34,0,0,0,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
10,22,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
21,74,0,0,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0
14,17,0,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
13,7,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
