Symbol,Date,Open,High,Low,Close,Volume,Adj_Close
BA,2002-04-11,49.799999,50.049999,48.599998,48.82,3757500,34.72635
BA,2002-04-10,48.57,49.73,48.389999,49.580002,3434200,35.266951
BA,2002-04-09,49.00,49.139999,48.299999,48.57,2183600,34.548522
BA,2002-04-08,47.900002,49.119999,47.59,49.00,2403200,34.854387
BA,2002-04-05,49.450001,49.68,47.400002,48.290001,2654500,34.349355
BA,2002-04-04,48.73,49.50,48.560001,49.080002,2660000,34.911294
BA,2002-04-03,48.650002,49.849998,48.560001,48.73,4754600,34.662332
BA,2002-04-02,47.919998,49.549999,47.619999,49.09,3427600,34.918405
BA,2002-04-01,48.25,48.75,47.799999,47.919998,2996800,34.086167
BA,2002-03-28,47.57,48.720001,47.50,48.25,4088900,34.320902
BA,2002-03-27,46.049999,47.759998,46.049999,47.330002,4907800,33.666494
BA,2002-03-26,45.849998,46.650002,45.540001,45.790001,2276100,32.57107
BA,2002-03-25,46.200001,46.84,45.25,45.720001,2528900,32.521278
BA,2002-03-22,47.00,47.25,46.119999,46.389999,2989000,32.997857
BA,2002-03-21,46.73,47.849998,46.34,47.669998,2708200,33.908338
BA,2002-03-20,47.599998,47.650002,46.900002,47.029999,2393600,33.453098
BA,2002-03-19,47.630001,48.25,47.220001,48.040001,2768800,34.171526
BA,2002-03-18,48.27,48.439999,46.77,47.630001,3092900,33.879888
BA,2002-03-15,47.68,47.990002,46.41,47.98,6360100,34.128846
BA,2002-03-14,49.23,49.23,47.34,47.610001,5426700,33.865661
BA,2002-03-13,50.18,50.25,48.900002,49.220001,3415300,35.010877
BA,2002-03-12,49.880001,50.48,49.450001,50.279999,4091100,35.764868
BA,2002-03-11,49.400002,51.07,49.049999,50.880001,4624300,36.191658
BA,2002-03-08,49.50,49.889999,48.93,49.400002,4340100,35.138914
BA,2002-03-07,49.799999,50.00,47.50,48.48,3859100,34.484503
BA,2002-03-06,48.220001,49.860001,47.740002,49.860001,3690700,35.466118
BA,2002-03-05,49.099998,49.099998,47.41,48.209999,3606200,34.292448
