Symbol,Date,Open,High,Low,Close,Volume,Adj_Close
LMT,2002-04-11,61.450001,61.919998,59.959999,60.349998,3451700,40.588799
LMT,2002-04-10,60.00,62.099998,59.950001,61.029999,3884500,41.046138
LMT,2002-04-09,59.799999,60.099998,59.080002,59.599998,2284500,40.084382
LMT,2002-04-08,59.00,60.119999,58.900002,60.099998,1579900,40.42066
LMT,2002-04-05,58.799999,59.380001,58.380001,59.09,1032000,39.741379
LMT,2002-04-04,58.529999,59.419998,58.400002,59.099998,1467700,39.748103
LMT,2002-04-03,58.66,59.549999,58.119999,58.529999,1626700,39.364746
LMT,2002-04-02,59.00,59.830002,58.630001,58.91,2569100,39.620319
LMT,2002-04-01,57.830002,59.459999,57.349998,59.09,2062900,39.741379
LMT,2002-03-28,58.400002,58.50,57.48,57.580002,2091200,38.725819
LMT,2002-03-27,57.650002,59.959999,57.650002,58.150002,3900700,39.109176
LMT,2002-03-26,56.200001,57.610001,55.970001,57.23,2133500,38.490423
LMT,2002-03-25,56.50,56.59,55.700001,56.049999,2029600,37.696806
LMT,2002-03-22,56.549999,57.25,55.50,56.25,3019400,37.831318
LMT,2002-03-21,58.200001,58.299999,57.279999,57.650002,1652800,38.772898
LMT,2002-03-20,58.25,58.68,57.799999,58.040001,1738900,39.035195
LMT,2002-03-19,57.599998,58.849998,57.599998,58.41,2267100,39.28404
LMT,2002-03-18,57.450001,58.700001,57.099998,57.84,1940100,38.900683
LMT,2002-03-15,57.50,58.400002,57.34,57.810001,2671500,38.880507
LMT,2002-03-14,57.099998,57.75,56.709999,57.310001,1337100,38.544229
LMT,2002-03-13,56.919998,57.48,56.669998,56.98,1792800,38.322284
LMT,2002-03-12,57.049999,57.990002,56.50,57.099998,2372500,38.40299
LMT,2002-03-11,56.049999,58.400002,55.900002,57.75,3291200,38.840153
LMT,2002-03-08,56.98,57.099998,55.119999,56.740002,2255900,38.160872
LMT,2002-03-07,57.200001,57.560001,55.939999,56.419998,2292300,37.945651
