Symbol,Date,Open,High,Low,Close,Volume,Adj_Close
NYT,2017-04-19,14.55,14.73,14.50,14.60,752900,14.60
NYT,2017-04-18,14.35,14.55,14.28,14.50,910000,14.50
NYT,2017-04-17,14.30,14.48,14.20,14.45,540900,14.45
NYT,2017-04-13,14.45,14.50,14.15,14.25,560800,14.25
NYT,2017-04-12,14.60,14.70,14.35,14.50,588500,14.50
NYT,2017-04-11,14.35,14.65,14.25,14.60,700300,14.60
NYT,2017-04-10,14.45,14.55,14.20,14.45,523500,14.45
NYT,2017-04-07,14.45,14.50,14.30,14.45,605400,14.45
NYT,2017-04-06,14.40,14.53,14.25,14.50,603600,14.50
NYT,2017-04-05,14.60,14.65,14.30,14.40,955500,14.40
NYT,2017-04-04,14.10,14.60,14.08,14.60,848000,14.60
NYT,2017-04-03,14.35,14.40,14.13,14.20,882700,14.20
NYT,2017-03-31,14.60,14.65,14.30,14.40,880500,14.36
NYT,2017-03-30,14.40,14.70,14.40,14.55,608000,14.509584
NYT,2017-03-29,14.40,14.50,14.35,14.45,407200,14.409861
NYT,2017-03-28,14.15,14.50,14.15,14.40,424500,14.36
NYT,2017-03-27,14.15,14.30,14.10,14.25,374600,14.210417
NYT,2017-03-24,14.35,14.45,14.25,14.25,521500,14.210417
NYT,2017-03-23,14.25,14.45,14.15,14.30,718400,14.260278
NYT,2017-03-22,14.25,14.45,14.10,14.25,753200,14.210417
NYT,2017-03-21,14.55,14.65,14.15,14.25,1095600,14.210417
NYT,2017-03-20,14.70,14.75,14.45,14.50,493100,14.459723
NYT,2017-03-17,14.65,14.85,14.55,14.70,1678200,14.659167
NYT,2017-03-16,14.80,14.80,14.48,14.65,444100,14.609306
NYT,2017-03-15,14.65,14.80,14.53,14.75,501300,14.709028
NYT,2017-03-14,14.45,14.70,14.45,14.55,396600,14.509584
NYT,2017-03-13,14.60,14.80,14.48,14.55,624800,14.509584
NYT,2017-03-10,14.40,14.70,14.30,14.65,1225900,14.609306
NYT,2017-03-09,14.40,14.58,14.35,14.35,490400,14.31014
NYT,2017-03-08,14.55,14.65,14.38,14.45,656000,14.409861
NYT,2017-03-07,14.55,14.70,14.45,14.50,781900,14.459723
NYT,2017-03-06,14.60,14.65,14.43,14.55,632400,14.509584
NYT,2017-03-03,14.55,14.60,14.30,14.60,954600,14.559445
NYT,2017-03-02,14.60,14.65,14.45,14.60,515800,14.559445
NYT,2017-03-01,14.60,14.75,14.40,14.70,973500,14.659167
NYT,2017-02-28,14.80,14.80,14.28,14.40,1939700,14.36
NYT,2017-02-27,14.95,15.10,14.70,14.80,1040300,14.758889
NYT,2017-02-24,14.75,15.05,14.55,14.85,1018900,14.808751
NYT,2017-02-23,15.20,15.20,14.65,14.75,1371100,14.709028
NYT,2017-02-22,15.40,15.50,15.00,15.05,1190400,15.008195
NYT,2017-02-21,15.60,15.65,15.35,15.50,810400,15.456945
NYT,2017-02-17,15.60,15.75,15.38,15.45,1112000,15.407083
NYT,2017-02-16,15.90,15.95,15.53,15.65,743800,15.606528
NYT,2017-02-15,15.85,16.00,15.50,15.95,1058400,15.905695
NYT,2017-02-14,16.10,16.200001,15.85,15.85,938600,15.805973
NYT,2017-02-13,15.75,16.35,15.50,16.25,2344000,16.204861
NYT,2017-02-10,14.90,15.50,14.80,15.45,1682600,15.407083
NYT,2017-02-09,14.85,14.93,14.70,14.75,858100,14.709028
NYT,2017-02-08,14.60,14.83,14.30,14.80,1066700,14.758889
NYT,2017-02-07,14.65,14.78,14.55,14.65,967400,14.609306
NYT,2017-02-06,14.25,14.55,14.10,14.55,1118400,14.509584
NYT,2017-02-03,13.70,14.45,13.65,14.35,1318800,14.31014
NYT,2017-02-02,13.75,14.15,13.30,13.55,1224100,13.512362
NYT,2017-02-01,13.55,13.85,13.35,13.55,597300,13.512362
NYT,2017-01-31,13.30,13.55,13.25,13.50,394500,13.4625
NYT,2017-01-30,13.35,13.53,13.05,13.30,607200,13.263056
NYT,2017-01-27,13.35,13.45,13.00,13.35,939900,13.312917
NYT,2017-01-26,13.35,13.40,13.23,13.30,317000,13.263056
NYT,2017-01-25,13.10,13.43,13.10,13.30,491600,13.263056
NYT,2017-01-24,13.05,13.20,13.00,13.10,1035200,13.063612
NYT,2017-01-23,13.35,13.40,13.00,13.05,657700,13.01375
NYT,2017-01-20,13.30,13.55,13.30,13.35,392300,13.312917
NYT,2017-01-19,13.55,13.63,13.33,13.35,231500,13.312917
NYT,2017-01-18,13.60,13.60,13.35,13.55,274800,13.512362
NYT,2017-01-17,13.50,13.60,13.43,13.50,338000,13.4625
NYT,2017-01-13,13.55,13.70,13.50,13.60,283800,13.562223
NYT,2017-01-12,13.45,13.55,13.30,13.50,351400,13.4625
NYT,2017-01-11,13.45,13.60,13.40,13.60,341200,13.562223
NYT,2017-01-10,13.40,13.60,13.35,13.55,454900,13.512362
NYT,2017-01-09,13.45,13.50,13.25,13.40,248500,13.362778
NYT,2017-01-06,13.65,13.70,13.45,13.50,315800,13.422611
NYT,2017-01-05,13.70,13.75,13.45,13.60,362200,13.522038
NYT,2017-01-04,13.45,13.70,13.40,13.70,504100,13.621464
NYT,2017-01-03,13.45,13.55,13.30,13.45,473000,13.372897
NYT,2016-12-30,13.40,13.50,13.25,13.30,517800,13.223757
NYT,2016-12-29,13.45,13.60,13.25,13.40,411700,13.323184
NYT,2016-12-28,13.70,13.75,13.40,13.45,229200,13.372897
NYT,2016-12-27,13.55,13.75,13.55,13.65,133600,13.571751
NYT,2016-12-23,13.55,13.65,13.48,13.60,193700,13.522038
NYT,2016-12-22,13.50,13.68,13.35,13.55,254000,13.472324
NYT,2016-12-21,13.65,13.65,13.35,13.55,346600,13.472324
NYT,2016-12-20,13.65,13.80,13.48,13.65,470100,13.571751
NYT,2016-12-19,13.65,13.75,13.50,13.65,426000,13.571751
NYT,2016-12-16,13.55,13.80,13.47,13.60,1699900,13.522038
NYT,2016-12-15,13.55,13.75,13.50,13.50,611400,13.422611
NYT,2016-12-14,13.55,13.79,13.45,13.45,556200,13.372897
NYT,2016-12-13,13.85,13.95,13.35,13.60,1108200,13.522038
NYT,2016-12-12,14.05,14.15,13.70,13.80,531200,13.720891
NYT,2016-12-09,14.00,14.20,13.85,14.10,622600,14.019172
NYT,2016-12-08,13.35,14.00,13.35,13.95,886100,13.870031
NYT,2016-12-07,13.05,13.50,13.05,13.40,740100,13.323184
NYT,2016-12-06,13.20,13.20,12.85,13.15,601000,13.074617
NYT,2016-12-05,12.90,13.45,12.83,13.20,757000,13.12433
NYT,2016-12-02,13.00,13.13,12.65,12.80,510700,12.726624
NYT,2016-12-01,13.05,13.20,12.90,12.95,461800,12.875763
NYT,2016-11-30,13.00,13.10,12.90,13.00,549400,12.925477
NYT,2016-11-29,12.85,13.15,12.80,12.85,809300,12.776337
NYT,2016-11-28,12.80,13.10,12.78,12.90,500600,12.82605
NYT,2016-11-25,12.80,12.95,12.75,12.85,245200,12.776337
NYT,2016-11-23,12.65,12.90,12.55,12.85,520800,12.776337
NYT,2016-11-22,12.40,12.75,12.20,12.65,502900,12.577483
NYT,2016-11-21,12.45,12.55,12.30,12.45,636800,12.37863
NYT,2016-11-18,12.30,12.50,12.20,12.45,645800,12.37863
NYT,2016-11-17,12.30,12.40,12.20,12.30,735900,12.22949
NYT,2016-11-16,12.25,12.35,12.15,12.20,541400,12.130063
NYT,2016-11-15,12.45,12.45,12.05,12.25,761200,12.179776
NYT,2016-11-14,12.45,12.60,12.20,12.45,853400,12.37863
NYT,2016-11-11,11.80,12.40,11.75,12.25,1586700,12.179776
NYT,2016-11-10,11.60,11.95,11.50,11.75,1106500,11.682643
NYT,2016-11-09,11.10,11.53,11.05,11.50,921400,11.434076
NYT,2016-11-08,11.05,11.30,11.05,11.20,699300,11.135795
NYT,2016-11-07,11.05,11.28,10.98,11.10,723900,11.036369
NYT,2016-11-04,10.90,11.10,10.75,10.95,929400,10.887229
NYT,2016-11-03,10.90,10.95,10.60,10.80,1168600,10.738089
NYT,2016-11-02,11.00,11.20,10.85,10.95,867200,10.887229
NYT,2016-11-01,10.90,11.00,10.75,10.90,914900,10.837515
NYT,2016-10-31,11.05,11.10,10.90,10.90,626200,10.837515
NYT,2016-10-28,10.95,11.10,10.90,11.05,401700,10.986656
NYT,2016-10-27,11.40,11.40,10.80,11.00,878500,10.936942
NYT,2016-10-26,11.45,11.55,11.30,11.40,655500,11.334649
NYT,2016-10-25,11.40,11.50,11.35,11.45,380800,11.384362
NYT,2016-10-24,11.70,11.70,11.45,11.50,558200,11.434076
NYT,2016-10-21,11.40,11.55,11.30,11.55,347900,11.483789
NYT,2016-10-20,11.50,11.60,11.40,11.55,530500,11.483789
NYT,2016-10-19,11.60,11.65,11.45,11.55,459200,11.483789
NYT,2016-10-18,11.50,11.60,11.35,11.50,601600,11.434076
NYT,2016-10-17,11.50,11.60,11.30,11.35,387600,11.284936
NYT,2016-10-14,11.60,11.70,11.48,11.55,284800,11.483789
NYT,2016-10-13,11.55,11.70,11.45,11.60,298100,11.533503
NYT,2016-10-12,11.75,11.90,11.60,11.70,554500,11.632929
NYT,2016-10-11,11.80,11.90,11.60,11.65,376000,11.583216
NYT,2016-10-10,11.80,11.95,11.75,11.85,287100,11.78207
NYT,2016-10-07,11.96,12.03,11.75,11.80,717300,11.732356
NYT,2016-10-06,12.02,12.07,11.86,11.97,444800,11.901382
NYT,2016-10-05,12.00,12.09,11.92,12.02,441400,11.951095
NYT,2016-10-04,12.06,12.15,11.89,11.93,438200,11.861611
NYT,2016-10-03,11.89,12.12,11.80,12.08,749000,12.010751
NYT,2016-09-30,11.96,11.97,11.83,11.95,787400,11.841725
NYT,2016-09-29,12.20,12.21,11.87,11.90,869800,11.792178
NYT,2016-09-28,12.18,12.30,12.01,12.05,789800,11.94082
NYT,2016-09-27,12.31,12.39,12.27,12.30,1117000,12.188555
NYT,2016-09-26,12.36,12.42,12.29,12.34,500100,12.228192
NYT,2016-09-23,12.37,12.47,12.34,12.44,381200,12.327285
NYT,2016-09-22,12.29,12.42,12.27,12.42,593600,12.307467
