Month-Year,EmailDeleted,Priority
Oct2001,15020,1
Jan2002,11304,2
Nov2001,10101,3
Dec2001,2578,4
Feb2002,2535,5
May2001,2432,6
Jun2001,2182,7
Mar2002,1232,8
Sep2001,1080,9
Aug2001,938,10
Jul2001,758,11
May2002,296,12
Apr2002,270,13
Jun2002,207,14
Apr2001,165,15
Mar2001,35,16
Oct0001,33,17
Feb2004,28,18
Dec0001,24,19
Nov0001,23,20
Feb2001,18,21
Jan0002,13,22
Jan2001,11,23
Feb0002,5,24
Mar0002,4,25
Aug0001,3,26
Oct2000,3,27
Sep0001,3,28
Nov2000,2,29
Nov2012,2,30
Apr1986,1,31
Dec2005,1,32
Feb2000,1,33
Jan2000,1,34
Jul1999,1,35
Jun0001,1,36
Mar2000,1,37
May0001,1,38
May1986,1,39
May2024,1,40
Sep2000,1,41
